15:56:21: newinfo
01:57:05: Decomposing poses, time elapse: 372.722seconds
01:57:05: Calculating kernel matrix, time elapse: 0.693seconds
02:00:22: Decomposing movements and ethograms, time elapse: 196.387seconds
02:00:37: Decomposing completed, time elapse: 584.583seconds
09:13:09: Decomposing poses, time elapse: 363.615seconds
09:13:11: Calculating kernel matrix, time elapse: 2.382seconds
09:25:41: Decomposing movements and ethograms, time elapse: 750.288seconds
09:25:55: Decomposing completed, time elapse: 1130.095seconds
10:15:24: Decomposing poses, time elapse: 354.24seconds
10:15:26: Calculating kernel matrix, time elapse: 2.221seconds
10:27:53: Decomposing movements and ethograms, time elapse: 746.942seconds
10:28:05: Decomposing completed, time elapse: 1115.378seconds
10:39:21: Decomposing poses, time elapse: 362.723seconds
10:39:23: Calculating kernel matrix, time elapse: 2.351seconds
10:53:00: Decomposing movements and ethograms, time elapse: 817.036seconds
10:53:12: Decomposing completed, time elapse: 1194.035seconds
11:04:38: Decomposing poses, time elapse: 361.224seconds
11:04:41: Calculating kernel matrix, time elapse: 2.171seconds
11:16:58: Decomposing movements and ethograms, time elapse: 737.104seconds
11:17:10: Decomposing completed, time elapse: 1112.551seconds
11:28:23: Decomposing poses, time elapse: 352.025seconds
11:28:25: Calculating kernel matrix, time elapse: 2.245seconds
11:41:02: Decomposing movements and ethograms, time elapse: 757.13seconds
11:41:14: Decomposing completed, time elapse: 1123.154seconds
11:52:46: Decomposing poses, time elapse: 369.935seconds
11:52:48: Calculating kernel matrix, time elapse: 2.255seconds
12:04:18: Decomposing movements and ethograms, time elapse: 690.345seconds
12:04:30: Decomposing completed, time elapse: 1073.926seconds
12:15:58: Decomposing poses, time elapse: 363.51seconds
12:16:00: Calculating kernel matrix, time elapse: 2.42seconds
12:29:28: Decomposing movements and ethograms, time elapse: 807.513seconds
12:29:39: Decomposing completed, time elapse: 1185.109seconds
12:41:34: Decomposing poses, time elapse: 372.536seconds
12:41:36: Calculating kernel matrix, time elapse: 2.478seconds
12:55:15: Decomposing movements and ethograms, time elapse: 818.646seconds
12:55:27: Decomposing completed, time elapse: 1205.821seconds
13:08:07: Decomposing poses, time elapse: 400.739seconds
13:08:10: Calculating kernel matrix, time elapse: 2.761seconds
13:24:15: Decomposing movements and ethograms, time elapse: 965.613seconds
13:24:27: Decomposing completed, time elapse: 1381.492seconds
13:37:01: Decomposing poses, time elapse: 378.363seconds
13:37:03: Calculating kernel matrix, time elapse: 2.401seconds
13:50:38: Decomposing movements and ethograms, time elapse: 815.097seconds
13:50:50: Decomposing completed, time elapse: 1207.708seconds
14:03:12: Decomposing poses, time elapse: 390.511seconds
14:03:15: Calculating kernel matrix, time elapse: 2.638seconds
14:18:21: Decomposing movements and ethograms, time elapse: 906.406seconds
14:18:34: Decomposing completed, time elapse: 1311.936seconds
16:51:41: Decomposing poses, time elapse: 41.454seconds
16:51:44: Calculating kernel matrix, time elapse: 2.587seconds
17:05:21: Decomposing movements and ethograms, time elapse: 817.043seconds
17:05:34: Decomposing completed, time elapse: 874.487seconds
17:17:05: Decomposing poses, time elapse: 43.026seconds
17:17:08: Calculating kernel matrix, time elapse: 2.618seconds
17:22:45: Decomposing movements and ethograms, time elapse: 336.82seconds
17:23:50: Decomposing poses, time elapse: 38.308seconds
17:23:52: Calculating kernel matrix, time elapse: 2.546seconds
17:37:47: Decomposing movements and ethograms, time elapse: 834.56seconds
17:37:59: Decomposing completed, time elapse: 887.174seconds
19:41:26: Decomposing poses, time elapse: 375.897seconds
19:41:28: Calculating kernel matrix, time elapse: 2.239seconds
19:54:52: Decomposing movements and ethograms, time elapse: 804.056seconds
19:55:04: Decomposing completed, time elapse: 1194.169seconds
20:07:12: Decomposing poses, time elapse: 393.732seconds
20:07:14: Calculating kernel matrix, time elapse: 2.374seconds
20:17:48: Decomposing movements and ethograms, time elapse: 634.087seconds
20:18:01: Decomposing completed, time elapse: 1042.9seconds
20:30:10: Decomposing poses, time elapse: 380.434seconds
20:30:12: Calculating kernel matrix, time elapse: 2.152seconds
20:42:45: Decomposing movements and ethograms, time elapse: 752.794seconds
20:42:56: Decomposing completed, time elapse: 1146.444seconds
20:54:17: Decomposing poses, time elapse: 350.709seconds
20:54:19: Calculating kernel matrix, time elapse: 2.11seconds
21:06:30: Decomposing movements and ethograms, time elapse: 731.112seconds
21:06:41: Decomposing completed, time elapse: 1095.163seconds
21:18:23: Decomposing poses, time elapse: 363.008seconds
21:18:26: Calculating kernel matrix, time elapse: 2.193seconds
21:30:37: Decomposing movements and ethograms, time elapse: 731.091seconds
21:30:48: Decomposing completed, time elapse: 1107.54seconds
21:42:10: Decomposing poses, time elapse: 350.594seconds
21:42:12: Calculating kernel matrix, time elapse: 2.367seconds
21:55:37: Decomposing movements and ethograms, time elapse: 804.857seconds
21:55:48: Decomposing completed, time elapse: 1168.709seconds
22:08:40: Decomposing poses, time elapse: 352.416seconds
22:08:42: Calculating kernel matrix, time elapse: 2.208seconds
22:20:59: Decomposing movements and ethograms, time elapse: 737.415seconds
22:21:11: Decomposing completed, time elapse: 1104.1seconds
22:28:52: Decomposing poses, time elapse: 372.929seconds
22:28:55: Calculating kernel matrix, time elapse: 2.451seconds
22:39:23: Decomposing movements and ethograms, time elapse: 628.442seconds
22:39:36: Decomposing completed, time elapse: 1016.927seconds
22:47:38: Decomposing poses, time elapse: 381.567seconds
22:47:40: Calculating kernel matrix, time elapse: 2.175seconds
23:00:28: Decomposing movements and ethograms, time elapse: 768.252seconds
23:00:41: Decomposing completed, time elapse: 1164.55seconds
23:08:27: Decomposing poses, time elapse: 375.156seconds
23:08:30: Calculating kernel matrix, time elapse: 2.202seconds
23:21:37: Decomposing movements and ethograms, time elapse: 787.317seconds
23:21:49: Decomposing completed, time elapse: 1176.984seconds
23:29:38: Decomposing poses, time elapse: 378.107seconds
23:29:41: Calculating kernel matrix, time elapse: 2.19seconds
23:42:38: Decomposing movements and ethograms, time elapse: 777.447seconds
23:42:50: Decomposing completed, time elapse: 1169.64seconds
23:50:37: Decomposing poses, time elapse: 375.037seconds
23:50:39: Calculating kernel matrix, time elapse: 2.331seconds
00:03:34: Decomposing movements and ethograms, time elapse: 775.154seconds
00:03:46: Decomposing completed, time elapse: 1163.97seconds
00:11:45: Decomposing poses, time elapse: 387.303seconds
00:11:47: Calculating kernel matrix, time elapse: 2.484seconds
00:26:17: Decomposing movements and ethograms, time elapse: 870.189seconds
00:26:30: Decomposing completed, time elapse: 1272.772seconds
00:35:10: Decomposing poses, time elapse: 411.143seconds
00:35:12: Calculating kernel matrix, time elapse: 2.809seconds
00:52:08: Decomposing movements and ethograms, time elapse: 1015.091seconds
00:52:21: Decomposing completed, time elapse: 1442.394seconds
01:00:51: Decomposing poses, time elapse: 394.715seconds
01:00:54: Calculating kernel matrix, time elapse: 2.405seconds
01:15:09: Decomposing movements and ethograms, time elapse: 855.293seconds
01:15:22: Decomposing completed, time elapse: 1265.051seconds
01:23:41: Decomposing poses, time elapse: 398.846seconds
01:23:43: Calculating kernel matrix, time elapse: 2.627seconds
01:39:08: Decomposing movements and ethograms, time elapse: 924.951seconds
01:39:22: Decomposing completed, time elapse: 1339.635seconds
14:50:06: Decomposing poses, time elapse: 357.472seconds
14:50:08: Calculating kernel matrix, time elapse: 2.219seconds
10:40:22: Decomposing poses, time elapse: 374.804seconds
10:40:23: Calculating kernel matrix, time elapse: 0.607seconds
10:42:55: Decomposing movements and ethograms, time elapse: 151.864seconds
10:43:09: Decomposing completed, time elapse: 542.133seconds
10:53:09: Decomposing poses, time elapse: 372.138seconds
10:53:10: Calculating kernel matrix, time elapse: 0.627seconds
